name,description,serial_number,model,manufacturer,category,lab_id,location_details,status,condition_status,purchase_price,current_value,purchase_date,warranty_expiry,processor,ram,storage,graphics_card,operating_system,resolution,brightness,contrast_ratio,lamp_hours,print_type,print_speed,paper_size,connectivity,magnification,objective_lenses,illumination,capacity,power_rating,temperature_range,accuracy,ports,speed,protocol
Dell OptiPlex 7090,High-performance desktop for CAD work,DELL-2024-001,OptiPlex 7090,Dell,computer,1,Room 101 Desk A1,available,excellent,1200,950,2024-01-15,2027-01-15,Intel i7-11700,16GB DDR4,512GB SSD,Intel UHD Graphics,Windows 11 Pro,,,,,,,,,,,,,,,,,,
HP EliteBook 840,Portable laptop for field research,HP-2024-002,EliteBook 840 G8,HP,computer,1,Mobile Cart Station B,in_use,good,1500,1200,2024-02-01,2027-02-01,Intel i5-1135G7,8GB DDR4,256GB SSD,Intel Iris Xe,Windows 11 Pro,,,,,,,,,,,,,,,,,,
Legacy Desktop PC,Old desktop computer for basic tasks,LEGACY-001,OptiPlex 3020,Dell,computer,1,Storage Room C,maintenance,fair,600,150,2020-03-10,2023-03-10,Intel i3-4150,4GB DDR3,500GB HDD,Intel HD Graphics,Windows 10,,,,,,,,,,,,,,,,,,
Epson PowerLite L3150,Ultra short throw classroom projector,EPSON-PRJ-001,PowerLite L3150,Epson,projector,1,Lecture Hall Ceiling Mount,available,excellent,2800,2400,2024-01-20,2027-01-20,,,,,,,1920x1080,3800 lumens,15000:1,245,,,,,,,,,,,,,,
BenQ MW632ST,Short throw projector for presentations,BENQ-PRJ-002,MW632ST,BenQ,projector,1,Conference Room Wall Mount,available,good,1200,800,2023-06-15,2026-06-15,,,,,,,1280x800,3200 lumens,13000:1,892,,,,,,,,,,,,,,
Old Overhead Projector,Vintage overhead projector,VINTAGE-001,3M 2000,3M,projector,1,Storage Room D,retired,poor,300,50,2015-01-01,2018-01-01,,,,,,,,,,1200,,,,,,,,,,,,,,
Canon ImageClass MF445dw,Multifunction laser printer with duplex,CANON-PRT-001,ImageClass MF445dw,Canon,printer,1,Main Office Print Station,available,good,350,280,2024-03-01,2025-03-01,,,,,,,,,,Laser,40 ppm,Letter/Legal,WiFi+Ethernet,,,,,,,,,,
HP LaserJet Pro M404n,Network laser printer,HP-PRT-002,LaserJet Pro M404n,HP,printer,1,Room 205 Corner Desk,in_use,excellent,280,220,2024-05-10,2025-05-10,,,,,,,,,,Laser,38 ppm,Letter/A4,Ethernet,,,,,,,,,,
Brother HL-L2350DW,Compact wireless laser printer,BROTHER-001,HL-L2350DW,Brother,printer,1,Teacher Lounge,maintenance,fair,150,90,2023-08-20,2024-08-20,,,,,,,,,,Laser,32 ppm,Letter,WiFi,,,,,,,,,,
Nikon Eclipse E200,Biological microscope for cell studies,NIKON-MIC-001,Eclipse E200,Nikon,microscope,1,Biology Lab Bench Station 1,available,excellent,2500,2200,2024-01-10,2026-01-10,,,,,,,,,,,,,40x-1000x,Plan Achromat 4x 10x 40x,LED,,,,,,,
Olympus CX23,Educational biological microscope,OLYMPUS-001,CX23,Olympus,microscope,1,Biology Lab Bench Station 2,available,good,800,650,2023-11-05,2025-11-05,,,,,,,,,,,,,40x-400x,Achromat 4x 10x 40x,Halogen,,,,,,,
Carl Zeiss Stemi 305,Stereo microscope for dissection,ZEISS-001,Stemi 305,Carl Zeiss,microscope,1,Biology Lab Bench Station 3,in_use,excellent,1200,1000,2024-04-15,2027-04-15,,,,,,,,,,,,,8x-40x,Greenough,LED,,,,,,,
Autoclave SX-500,Steam sterilization equipment,AUTOCLAVE-001,SX-500,Tuttnauer,lab_equipment,1,Sterilization Room,available,excellent,8500,7500,2024-02-01,2029-02-01,,,,,,,,,,,,,,,,,50L,2200W,121-134°C,±1°C,,,
Centrifuge CF-800,High-speed laboratory centrifuge,CENTRIFUGE-001,CF-800,Eppendorf,lab_equipment,1,Equipment Room A,available,good,3200,2800,2023-09-12,2026-09-12,,,,,,,,,,,,,,,,,24 tubes,300W,4°C,±0.5°C,,,
pH Meter PH-2000,Digital pH meter with calibration,PHMETER-001,PH-2000,Hanna Instruments,lab_equipment,1,Chemistry Lab Bench 5,in_use,excellent,450,380,2024-06-01,2025-06-01,,,,,,,,,,,,,,,,,,,±0.01 pH,,,
Cisco Catalyst 2960,24-port Ethernet switch,CISCO-SW-001,Catalyst 2960-24TT-L,Cisco,network,1,Server Room Rack A,available,excellent,800,600,2023-10-15,2026-10-15,,,,,,,,,,,,,,,,,,,,,24 Ethernet,100 Mbps,Ethernet
TP-Link Archer AX6000,WiFi 6 wireless router,TPLINK-001,Archer AX6000,TP-Link,network,1,IT Office,available,good,300,220,2024-07-20,2025-07-20,,,,,,,,,,,,,,,,,,,,,4 Gigabit + 1 USB,6 Gbps,WiFi 6
Netgear ProSafe GS108,8-port Gigabit switch,NETGEAR-001,ProSafe GS108,Netgear,network,1,Conference Room,maintenance,fair,80,45,2022-03-01,2025-03-01,,,,,,,,,,,,,,,,,,,,,8 Gigabit,1 Gbps,Ethernet